,Unidad,Número de conversación,Clave,País,Ciudad,Sexo,Edad,Educación,Número de turno,ID del hablante,Turno previo,Turno,Turno siguiente,Posición de la unidad,Grupo de edad,No. de coincidencia en el turno,Total de coincidencias en el turno
0,¿sí?,1,GUAD_H11_086,México,Guadalajara,mujer,21,alto,361,E,"I: sí porque viene otro en camino 
","E: ¡¿sí?! felicidades / ¿ya saben qué va a ser?
","I: sí
",2,1,1.0,1.0
1,¿sí?,1,GUAD_H11_086,México,Guadalajara,mujer,21,alto,451,E,"I: sus ojos
","E: ¡¿sí?! / su persoalidad ¿qué es lo que más te<alargamiento/> agrada? / de su forma de ser /
","I: pues que nos la llevamos chido
",2,1,1.0,1.0
2,¿sí?,2,GUAD_H12_098,México,Guadalajara,mujer,21,alto,315,E,"I: amm // pues creo que a todos /	
","E: ¿sí?
","I: d <vacilación/> digo / en cuanto a familias así / cercanas / a lo mejor ya aquel primo de mi / tía <simultáneo> <ininteligible/> </simultáneo>
",0,1,1.0,1.0
3,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,47,E,"I: <simultáneo> en estos días </simultáneo> pues estaba malo
","E: ¿sí?
","I: igualmente no <sic> se </sic> imaginas <risas = ""E""/> sí  me <vacilación/> del domingo para acá me puse malo
",0,1,1.0,1.0
4,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,100,E,"I: <simultáneo> uuh </simultáneo> sí / pues cómo no<alargamiento/> // aquí era<alargamiento/> no era billar ahí frente ahí nos poníamos a cotorrear 
","E: ¿sí?
","I: jugar fútbol / béisbol / aquí en lo que se pudiera / pues estaba todo el puro llano / estaba oscuro aquí // era una boca de lobos decía mi mamá <risas = ""I y E""/> sí estaba / en ese tiempo estaba<alargamiento/> / estaba bonito porque / pues no había carros no había ruido / no había nada de eso hasta ahorita ya / te quieres dormir y pues no puedes porque / los camiones pasan grrrrrr <observación_complementaria = ""imita el ruido del camión""/> / sueltan el freno de / de<alargamiento/> <vacilación/> aire y ya / te despierta / pero<alargamiento/> sí / sí se ha notado mucho la diferencia 
",0,1,1.0,1.0
5,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,111,E,"I: <simultáneo> sí </simultáneo>
","E: ¿sí?
","I: creo que sí han sido // por lo regular <risas = ""E""/> <observación_complementaria = ""E ríe por un comentario de A3 que no se escucha en el audio""/>/ sí / por lo regular
",0,1,1.0,1.0
6,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,140,E,"I: no pues ni se diga el finado / de maravilla me llevaba con él // 
","E: ¿sí?
","I: ya<alargamiento/> <observación_complementaria = ""el informante parece querer llorar""/> / ya murió
",0,1,1.0,1.0
7,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,144,E,"I: también 
","E: ¿sí?
","I: con todos / ey / con todos 
",0,1,1.0,1.0
8,¿sí?,4,GUAD_H21_060,México,Guadalajara,hombre,44,bajo,192,I,"I: están graba<alargamiento/>ndo <silencio/> pues ¿qué? ahorita ya a estas alturas de la vida / ahorita ya / pues qué será 
","I: vestirme de Santa Claus E: ¿sí? <risas = ""E e I""/>
","I: sí no / pues ya te hartas 
",3,2,1.0,1.0
9,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,203,E,"I: poquito 
","E: ¿sí? / ¿como qué te gusta hacer?
","I: pues / yo a veces me pongo a hacer sopas // chile con huevo y / frijoles fritos <silencio/> lo<alargamiento/> lo indispensable pues // para sobrevivir <risas = ""I""/> <risas = ""E""/> ¿verdad? 
",1,1,1.0,1.0
